event_month,total_events,view_count,cart_count,purchase_count,revenue,active_user_count,purchase_user_count,session_count,purchase_session_count,cart_view_ratio,purchase_view_ratio,purchase_cart_ratio,avg_purchase_price,revenue_per_purchase_user,purchase_user_ratio,purchase_session_ratio
2019_10,42380091,40710876.0,926366.0,742849.0,229957502.26999643,3021435,347118,9239402,629560,0.022754754773638378,0.01824694216847606,0.8018957949665683,309.56156940373677,662.4764554704637,0.11488514563444191,0.06813860897058056
2019_11,67313891,63372430.0,3024522.0,916939.0,275194890.5000041,3695107,441638,13760092,773214,0.04772614842132454,0.014469052236122238,0.30316823617087263,300.12344387140706,623.1232151671825,0.11951967832054661,0.056192502201293425
2019_12,67479791,62924367.0,3393376.0,1162048.0,344176829.140005,4576180,500997,15570830,970005,0.053927852782372845,0.01846737687484405,0.3424459888912988,296.1812499483713,686.9838125577697,0.10947930369871814,0.06229629377496254
2020_01,55790932,52317634.0,2638291.0,835007.0,261034870.10000277,4384246,359105,13827691,690930,0.05042833167876055,0.015960335668084684,0.31649541312918095,312.61399018212154,726.9040255635615,0.08190804074406409,0.04996712755585875
2020_02,55231056,51146750.0,2884018.0,1200288.0,381178935.4200026,4231641,392356,13529252,754013,0.05638712137134813,0.023467532150136618,0.4161860293521053,317.57289535511694,971.5129510444661,0.09271958561702186,0.05573205377503501
2020_03,56274333,52282791.0,2966608.0,1024934.0,321378408.3200025,4113028,453487,12649252,849142,0.056741576783840786,0.01960365887888426,0.3454902029523281,313.5601007674665,708.6827369252095,0.110256239442085,0.06712981921776877
2020_04,66525177,62291531.0,3266887.0,966759.0,244525792.10999683,4508979,485144,11649344,786003,0.05244512291727105,0.015519910724300548,0.2959266727009535,252.93355646029343,504.0272416230992,0.10759508970877886,0.06747186794380867
