dataset,threshold_name,threshold_value,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_prediction_ratio
valid_2020_03,default_0.5,0.5,0.9615962421446859,0.6859578910736036,0.7819653270916809,0.7308219939935486,0.9829863408896921,0.7583355080269175,0.07600082520471424
test_2020_04,default_0.5,0.5,0.9458296247380057,0.5837012964075029,0.6999915275777345,0.6365790234036406,0.9717546919932879,0.6341758772962987,0.08127996784288954
valid_2020_03,best_f1_threshold_from_valid,0.49000000000000005,0.9603901737161719,0.6615404048378438,0.831078668623795,0.7366810845025846,0.9829863408896921,0.7583355080269175,0.08375563360910687
test_2020_04,best_f1_threshold_from_valid,0.49000000000000005,0.9427919262683396,0.5573060995734346,0.7582394306532237,0.6424277228433501,0.9717546919932879,0.6341758772962987,0.09221338539722645
