model,model_explanation,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,top10_purchase_rate,top10_lift,top10_captured_purchase_ratio
baseline_has_cart_rule,规则模型：是否加购,0.05,0.9109908409658618,0.4321696538313368,0.9979666186562738,0.6031465622079701,0.9513169629729115,0.4314287043075713,0.4307330098481151,6.355163941370837,0.6355163941370838
logistic_regression_full,逻辑回归：全部特征,0.6300000000000001,0.9212552757759338,0.4578924162257496,0.8798610522748453,0.602325783719514,0.9606394877333909,0.5417836880299918,0.4794854862327371,7.07447259171397,0.7074472591713971
lgbm_behavior_only,LightGBM：仅 session 行为特征,0.3700000000000001,0.9383645812397714,0.5299252916981448,0.8022960264339575,0.6382677563400455,0.970860838449282,0.6133049131198712,0.536593068994229,7.917054986020503,0.7917054986020503
lgbm_behavior_price_time,LightGBM：行为 + 价格 + 时间特征,0.3700000000000001,0.938005684917741,0.5280298391137338,0.803609251885114,0.6373043069273668,0.97049442270403,0.6157297042380087,0.5347555198254328,7.889943234770819,0.7889943234770821
lgbm_full,LightGBM：全部特征,0.49,0.9427919262683396,0.5573060995734346,0.7582394306532237,0.6424277228433501,0.9717546919932879,0.6341758772962987,0.5403255907433461,7.97212573074642,0.797212573074642
